Matchday,Team,Rank
1,Hertha,1
2,Dortmund,1
3,Dortmund,1
4,Dortmund,1
5,Dortmund,1
6,Dortmund,1
7,Dortmund,1
8,Bayern Munich,1
9,Bayern Munich,1
10,Bayern Munich,1
11,Bayern Munich,1
12,Bayern Munich,1
13,Bayern Munich,1
14,Bayern Munich,1
15,Bayern Munich,1
16,Bayern Munich,1
17,Bayern Munich,1
18,Bayern Munich,1
19,Bayern Munich,1
20,Bayern Munich,1
21,Bayern Munich,1
22,Bayern Munich,1
23,Bayern Munich,1
24,Bayern Munich,1
25,Bayern Munich,1
26,Bayern Munich,1
27,Bayern Munich,1
28,Bayern Munich,1
29,Bayern Munich,1
30,Bayern Munich,1
31,Bayern Munich,1
32,Bayern Munich,1
33,Bayern Munich,1
34,Bayern Munich,1
1,Dortmund,2
2,Leverkusen,2
3,Leverkusen,2
4,Bayern Munich,2
5,Bayern Munich,2
6,Bayern Munich,2
7,Bayern Munich,2
8,Dortmund,2
9,Dortmund,2
10,Dortmund,2
11,Dortmund,2
12,Dortmund,2
13,Leverkusen,2
14,Leverkusen,2
15,Leverkusen,2
16,Leverkusen,2
17,Leverkusen,2
18,Leverkusen,2
19,Leverkusen,2
20,Leverkusen,2
21,Leverkusen,2
22,Leverkusen,2
23,Dortmund,2
24,Dortmund,2
25,Dortmund,2
26,Dortmund,2
27,Dortmund,2
28,Dortmund,2
29,Dortmund,2
30,Dortmund,2
31,Dortmund,2
32,Dortmund,2
33,Dortmund,2
34,Dortmund,2
1,Leverkusen,3
2,Bayern Munich,3
3,Bayern Munich,3
4,Hannover,3
5,Leverkusen,3
6,Leverkusen,3
7,Leverkusen,3
8,Leverkusen,3
9,Leverkusen,3
10,Leverkusen,3
11,Leverkusen,3
12,Leverkusen,3
13,Dortmund,3
14,Dortmund,3
15,Dortmund,3
16,Dortmund,3
17,Mgladbach,3
18,Dortmund,3
19,Dortmund,3
20,Dortmund,3
21,Dortmund,3
22,Dortmund,3
23,Leverkusen,3
24,Leverkusen,3
25,Schalke 04,3
26,Schalke 04,3
27,Schalke 04,3
28,Schalke 04,3
29,Schalke 04,3
30,Schalke 04,3
31,Schalke 04,3
32,Schalke 04,3
33,Schalke 04,3
34,Schalke 04,3
1,Bayern Munich,4
2,Mainz,4
3,Mainz,4
4,Leverkusen,4
5,Hannover,4
6,Hannover,4
7,Hannover,4
8,Mgladbach,4
9,Hertha,4
10,Mgladbach,4
11,Mgladbach,4
12,Mgladbach,4
13,Mgladbach,4
14,Mgladbach,4
15,Mgladbach,4
16,Mgladbach,4
17,Dortmund,4
18,Mgladbach,4
19,Schalke 04,4
20,Schalke 04,4
21,Schalke 04,4
22,Schalke 04,4
23,Schalke 04,4
24,Schalke 04,4
25,Leverkusen,4
26,Leverkusen,4
27,Leverkusen,4
28,Leverkusen,4
29,Mgladbach,4
30,Leverkusen,4
31,Leverkusen,4
32,Leverkusen,4
33,Leverkusen,4
34,Leverkusen,4
1,Hannover,5
2,Werder Bremen,5
3,Hertha,5
4,Mainz,5
5,Mainz,5
6,Mgladbach,5
7,Hertha,5
8,Hannover,5
9,Schalke 04,5
10,Hertha,5
11,Wolfsburg,5
12,Wolfsburg,5
13,Wolfsburg,5
14,Schalke 04,5
15,Wolfsburg,5
16,Wolfsburg,5
17,Wolfsburg,5
18,Schalke 04,5
19,Mgladbach,5
