Matchday,Team,Rank
1,Bayern Munich,1
2,Bayern Munich,1
3,Bayern Munich,1
4,Bayern Munich,1
5,Bayern Munich,1
6,Bayern Munich,1
7,Bayern Munich,1
8,Bayern Munich,1
9,Bayern Munich,1
10,Bayern Munich,1
11,Bayern Munich,1
12,Bayern Munich,1
13,Bayern Munich,1
14,Bayern Munich,1
15,Bayern Munich,1
16,Bayern Munich,1
17,Bayern Munich,1
18,Bayern Munich,1
19,Bayern Munich,1
20,Bayern Munich,1
21,Bayern Munich,1
22,Bayern Munich,1
23,Bayern Munich,1
24,Bayern Munich,1
25,Bayern Munich,1
26,Bayern Munich,1
27,Bayern Munich,1
28,Bayern Munich,1
29,Bayern Munich,1
30,Bayern Munich,1
31,Bayern Munich,1
32,Bayern Munich,1
33,Bayern Munich,1
34,Bayern Munich,1
1,Fortuna Dusseldorf,2
2,Ein Frankfurt,2
3,Ein Frankfurt,2
4,Ein Frankfurt,2
5,Ein Frankfurt,2
6,Ein Frankfurt,2
7,Ein Frankfurt,2
8,Ein Frankfurt,2
9,Schalke 04,2
10,Schalke 04,2
11,Schalke 04,2
12,Schalke 04,2
13,Dortmund,2
14,Leverkusen,2
15,Leverkusen,2
16,Leverkusen,2
17,Leverkusen,2
18,Leverkusen,2
19,Leverkusen,2
20,Dortmund,2
21,Dortmund,2
22,Dortmund,2
23,Dortmund,2
24,Dortmund,2
25,Dortmund,2
26,Dortmund,2
27,Dortmund,2
28,Dortmund,2
29,Dortmund,2
30,Dortmund,2
31,Dortmund,2
32,Dortmund,2
33,Dortmund,2
34,Dortmund,2
1,Dortmund,3
2,Hannover,3
3,Hannover,3
4,Hannover,3
5,Hannover,3
6,Dortmund,3
7,Schalke 04,3
8,Schalke 04,3
9,Ein Frankfurt,3
10,Ein Frankfurt,3
11,Ein Frankfurt,3
12,Ein Frankfurt,3
13,Schalke 04,3
14,Dortmund,3
15,Dortmund,3
16,Dortmund,3
17,Dortmund,3
18,Dortmund,3
19,Dortmund,3
20,Leverkusen,3
21,Leverkusen,3
22,Leverkusen,3
23,Leverkusen,3
24,Leverkusen,3
25,Leverkusen,3
26,Leverkusen,3
27,Leverkusen,3
28,Leverkusen,3
29,Leverkusen,3
30,Leverkusen,3
31,Leverkusen,3
32,Leverkusen,3
33,Leverkusen,3
34,Leverkusen,3
1,Ein Frankfurt,4
2,Schalke 04,4
3,Schalke 04,4
4,Dortmund,4
5,Schalke 04,4
6,Schalke 04,4
7,Dortmund,4
8,Dortmund,4
9,Dortmund,4
10,Leverkusen,4
11,Dortmund,4
12,Dortmund,4
13,Ein Frankfurt,4
14,Schalke 04,4
15,Schalke 04,4
16,Ein Frankfurt,4
17,Ein Frankfurt,4
18,Ein Frankfurt,4
19,Ein Frankfurt,4
20,Ein Frankfurt,4
21,Ein Frankfurt,4
22,Ein Frankfurt,4
23,Ein Frankfurt,4
24,Ein Frankfurt,4
25,Schalke 04,4
26,Ein Frankfurt,4
27,Schalke 04,4
28,Schalke 04,4
29,Schalke 04,4
30,Schalke 04,4
31,Schalke 04,4
32,Schalke 04,4
33,Schalke 04,4
34,Schalke 04,4
1,Mgladbach,5
2,Fortuna Dusseldorf,5
3,Dortmund,5
4,Schalke 04,5
5,Fortuna Dusseldorf,5
6,Hannover,5
7,Hannover,5
8,Leverkusen,5
9,Leverkusen,5
10,Dortmund,5
11,Leverkusen,5
12,Leverkusen,5
13,Leverkusen,5
14,Ein Frankfurt,5
15,Ein Frankfurt,5
16,Schalke 04,5
17,Freiburg,5
18,Schalke 04,5
19,Mainz,5
20,Mainz,5
21,Freiburg,5
22,Freiburg,5
23,Freiburg,5
24,Freiburg,5
25,Ein Frankfurt,5
26,Schalke 04,5
27,Ein Frankfurt,5
28,Freiburg,5
29,Freiburg,5
30,Freiburg,5
31,Ein Frankfurt,5
32,Ein Frankfurt,5
33,Freiburg,5
34,Freiburg,5
1,Nurnberg,6
2,Dortmund,6
3,Nurnberg,6
4,Nurnberg,6
5,Dortmund,6
6,Fortuna Dusseldorf,6
7,Leverkusen,6
8,Hannover,6
9,Mainz,6
10,Hannover,6
11,Hannover,6
12,Hannover,6
13,Freiburg,6
14,Hannover,6
15,Mainz,6
16,Stuttgart,6
17,Mainz,6
18,Freiburg,6
19,Schalke 04,6
20,Schalke 04,6
21,Mainz,6
22,Hamburg,6
23,Hamburg,6
24,Schalke 04,6
25,Hamburg,6
26,Mainz,6
27,Mainz,6
28,Ein Frankfurt,6
29,Ein Frankfurt,6
30,Ein Frankfurt,6
31,Freiburg,6
32,Freiburg,6
33,Ein Frankfurt,6
34,Ein Frankfurt,6
1,Wolfsburg,7
2,Mgladbach,7
3,Fortuna Dusseldorf,7
4,Fortuna Dusseldorf,7
5,Werder Bremen,7
6,Leverkusen,7
7,Fortuna Dusseldorf,7
8,Freiburg,7
9,Hamburg,7
10,Werder Bremen,7
11,Mainz,7
12,Werder Bremen,7
13,Werder Bremen,7
14,Mainz,7
15,Stuttgart,7
16,Hamburg,7
17,Schalke 04,7
18,Mainz,7
19,Mgladbach,7
20,Mgladbach,7
21,Hamburg,7
22,Mainz,7
23,Hannover,7
24,Hamburg,7
25,Mainz,7
26,Mgladbach,7
27,Freiburg,7
28,Mgladbach,7
29,Mgladbach,7
30,Mgladbach,7
31,Mgladbach,7
32,Hamburg,7
33,Hamburg,7
34,Hamburg,7
1,Hannover,8
2,Nurnberg,8
3,Freiburg,8
4,Freiburg,8
5,Leverkusen,8
6,Werder Bremen,8
7,Hamburg,8
8,Mainz,8
9,Stuttgart,8
10,Mainz,8
11,Mgladbach,8
12,Mainz,8
13,Hannover,8
14,Hamburg,8
15,Werder Bremen,8
16,Mgladbach,8
17,Mgladbach,8
18,Mgladbach,8
19,Freiburg,8
20,Freiburg,8
21,Mgladbach,8
22,Hannover,8
23,Mainz,8
24,Mainz,8
25,Freiburg,8
26,Hamburg,8
27,Mgladbach,8
28,Mainz,8
29,Hamburg,8
30,Hamburg,8
31,Hamburg,8
32,Mgladbach,8
33,Mgladbach,8
34,Mgladbach,8
1,Schalke 04,9
2,Werder Bremen,9
3,Mgladbach,9
4,Mgladbach,9
5,Nurnberg,9
6,Hoffenheim,9
7,Mainz,9
8,Werder Bremen,9
9,Mgladbach,9
10,Hamburg,9
11,Werder Bremen,9
12,Hamburg,9
13,Mainz,9
14,Mgladbach,9
15,Hamburg,9
16,Freiburg,9
17,Stuttgart,9
18,Hamburg,9
19,Hamburg,9
20,Hamburg,9
21,Hannover,9
22,Schalke 04,9
23,Schalke 04,9
24,Mgladbach,9
25,Mgladbach,9
26,Freiburg,9
27,Hamburg,9
28,Hannover,9
29,Mainz,9
30,Mainz,9
31,Hannover,9
32,Hannover,9
33,Hannover,9
34,Hannover,9
1,Freiburg,10
2,Leverkusen,10
3,Wolfsburg,10
4,Wolfsburg,10
5,Mgladbach,10
6,Hamburg,10
7,Mgladbach,10
8,Hamburg,10
9,Hannover,10
10,Stuttgart,10
11,Hamburg,10
12,Freiburg,10
13,Hamburg,10
14,Freiburg,10
15,Mgladbach,10
16,Hannover,10
17,Hamburg,10
18,Stuttgart,10
19,Hannover,10
20,Hannover,10
21,Schalke 04,10
22,Mgladbach,10
23,Mgladbach,10
24,Hannover,10
25,Hannover,10
26,Hannover,10
27,Hannover,10
28,Nurnberg,10
29,Hannover,10
30,Stuttgart,10
31,Mainz,10
32,Mainz,10
33,Wolfsburg,10
34,Nurnberg,10
1,Mainz,11
2,Greuther Furth,11
3,Werder Bremen,11
4,Werder Bremen,11
5,Hoffenheim,11
6,Mainz,11
7,Freiburg,11
8,Fortuna Dusseldorf,11
9,Werder Bremen,11
10,Mgladbach,11
11,Freiburg,11
12,Mgladbach,11
13,Mgladbach,11
14,Stuttgart,11
15,Freiburg,11
16,Mainz,11
17,Hannover,11
18,Hannover,11
19,Stuttgart,11
20,Werder Bremen,11
21,Werder Bremen,11
22,Werder Bremen,11
23,Stuttgart,11
24,Stuttgart,11
25,Nurnberg,11
26,Nurnberg,11
27,Nurnberg,11
28,Hamburg,11
29,Nurnberg,11
30,Hannover,11
31,Wolfsburg,11
32,Wolfsburg,11
33,Stuttgart,11
34,Wolfsburg,11
1,Werder Bremen,12
2,Wolfsburg,12
3,Leverkusen,12
4,Mainz,12
5,Freiburg,12
6,Nurnberg,12
7,Werder Bremen,12
8,Stuttgart,12
9,Freiburg,12
10,Freiburg,12
11,Stuttgart,12
12,Stuttgart,12
13,Stuttgart,12
14,Werder Bremen,12
15,Hannover,12
16,Werder Bremen,12
17,Werder Bremen,12
18,Werder Bremen,12
19,Werder Bremen,12
20,Stuttgart,12
21,Wolfsburg,12
22,Stuttgart,12
23,Werder Bremen,12
24,Fortuna Dusseldorf,12
25,Wolfsburg,12
26,Stuttgart,12
27,Wolfsburg,12
28,Wolfsburg,12
29,Stuttgart,12
30,Nurnberg,12
31,Stuttgart,12
32,Stuttgart,12
33,Mainz,12
34,Stuttgart,12
1,Hoffenheim,13
2,Mainz,13
3,Greuther Furth,13
4,Leverkusen,13
5,Wolfsburg,13
6,Mgladbach,13
7,Hoffenheim,13
8,Mgladbach,13
9,Fortuna Dusseldorf,13
10,Hoffenheim,13
11,Hoffenheim,13
12,Wolfsburg,13
13,Wolfsburg,13
14,Nurnberg,13
15,Fortuna Dusseldorf,13
16,Nurnberg,13
17,Fortuna Dusseldorf,13
18,Wolfsburg,13
19,Wolfsburg,13
20,Fortuna Dusseldorf,13
21,Nurnberg,13
22,Fortuna Dusseldorf,13
23,Fortuna Dusseldorf,13
24,Nurnberg,13
25,Werder Bremen,13
26,Wolfsburg,13
27,Stuttgart,13
28,Stuttgart,13
29,Wolfsburg,13
30,Wolfsburg,13
31,Nurnberg,13
32,Nurnberg,13
33,Nurnberg,13
34,Mainz,13
1,Leverkusen,14
2,Freiburg,14
3,Mainz,14
4,Greuther Furth,14
5,Hamburg,14
6,Freiburg,14
7,Nurnberg,14
8,Hoffenheim,14
9,Hoffenheim,14
10,Nurnberg,14
11,Fortuna Dusseldorf,14
12,Hoffenheim,14
13,Fortuna Dusseldorf,14
14,Fortuna Dusseldorf,14
15,Nurnberg,14
16,Wolfsburg,14
17,Nurnberg,14
18,Fortuna Dusseldorf,14
19,Fortuna Dusseldorf,14
20,Nurnberg,14
21,Stuttgart,14
22,Nurnberg,14
23,Nurnberg,14
24,Werder Bremen,14
25,Stuttgart,14
26,Werder Bremen,14
27,Werder Bremen,14
28,Werder Bremen,14
29,Werder Bremen,14
30,Werder Bremen,14
31,Werder Bremen,14
32,Werder Bremen,14
33,Werder Bremen,14
34,Werder Bremen,14
1,Hamburg,15
2,Hamburg,15
3,Augsburg,15
4,Hamburg,15
5,Mainz,15
6,Stuttgart,15
7,Stuttgart,15
8,Nurnberg,15
9,Nurnberg,15
10,Fortuna Dusseldorf,15
11,Nurnberg,15
12,Nurnberg,15
13,Nurnberg,15
14,Wolfsburg,15
15,Wolfsburg,15
16,Fortuna Dusseldorf,15
17,Wolfsburg,15
18,Nurnberg,15
19,Nurnberg,15
20,Wolfsburg,15
21,Fortuna Dusseldorf,15
22,Wolfsburg,15
23,Wolfsburg,15
24,Wolfsburg,15
25,Fortuna Dusseldorf,15
26,Fortuna Dusseldorf,15
27,Fortuna Dusseldorf,15
28,Fortuna Dusseldorf,15
29,Fortuna Dusseldorf,15
30,Fortuna Dusseldorf,15
31,Fortuna Dusseldorf,15
32,Fortuna Dusseldorf,15
33,Fortuna Dusseldorf,15
34,Augsburg,15
1,Stuttgart,16
2,Augsburg,16
3,Stuttgart,16
4,Hoffenheim,16
5,Greuther Furth,16
6,Wolfsburg,16
7,Augsburg,16
8,Augsburg,16
9,Wolfsburg,16
10,Wolfsburg,16
11,Wolfsburg,16
12,Fortuna Dusseldorf,16
13,Hoffenheim,16
14,Hoffenheim,16
15,Hoffenheim,16
16,Hoffenheim,16
17,Hoffenheim,16
18,Hoffenheim,16
19,Augsburg,16
20,Hoffenheim,16
21,Hoffenheim,16
22,Hoffenheim,16
23,Augsburg,16
24,Augsburg,16
25,Augsburg,16
26,Augsburg,16
27,Augsburg,16
28,Augsburg,16
29,Augsburg,16
30,Augsburg,16
31,Augsburg,16
32,Augsburg,16
33,Augsburg,16
34,Hoffenheim,16
1,Augsburg,17
2,Hoffenheim,17
3,Hamburg,17
4,Stuttgart,17
5,Stuttgart,17
6,Greuther Furth,17
7,Wolfsburg,17
8,Greuther Furth,17
9,Augsburg,17
10,Greuther Furth,17
11,Greuther Furth,17
12,Greuther Furth,17
13,Greuther Furth,17
14,Greuther Furth,17
15,Augsburg,17
16,Augsburg,17
17,Augsburg,17
18,Augsburg,17
19,Hoffenheim,17
20,Augsburg,17
21,Augsburg,17
22,Augsburg,17
23,Hoffenheim,17
24,Hoffenheim,17
25,Hoffenheim,17
26,Hoffenheim,17
27,Hoffenheim,17
28,Hoffenheim,17
29,Hoffenheim,17
30,Hoffenheim,17
31,Hoffenheim,17
32,Hoffenheim,17
33,Hoffenheim,17
34,Fortuna Dusseldorf,17
1,Greuther Furth,18
2,Stuttgart,18
3,Hoffenheim,18
4,Augsburg,18
5,Augsburg,18
6,Augsburg,18
7,Greuther Furth,18
8,Wolfsburg,18
9,Greuther Furth,18
10,Augsburg,18
11,Augsburg,18
12,Augsburg,18
13,Augsburg,18
14,Augsburg,18
15,Greuther Furth,18
16,Greuther Furth,18
17,Greuther Furth,18
18,Greuther Furth,18
19,Greuther Furth,18
20,Greuther Furth,18
21,Greuther Furth,18
22,Greuther Furth,18
23,Greuther Furth,18
24,Greuther Furth,18
25,Greuther Furth,18
26,Greuther Furth,18
27,Greuther Furth,18
28,Greuther Furth,18
29,Greuther Furth,18
30,Greuther Furth,18
31,Greuther Furth,18
32,Greuther Furth,18
33,Greuther Furth,18
34,Greuther Furth,18
